id,Formule,No Ele,Ele,BG,IM,Is BG Dir,Structure,a,b,c,alfa,beta,gamma,CA
mp-16032,Pr2TeO2,3,O-Pr-Te,1.6555999999999997,False,False,Tetragonal,4.093107031173923,4.093107833147179,7.132015287214891,106.67561469546139,106.67561337008453,90.00000828235704,125663.28593072966
mp-16033,Sm2TeO2,3,O-Sm-Te,1.4893,False,False,Tetragonal,4.005059936279053,4.005060375041126,6.970235304224588,106.6962117191339,106.69621427850589,90.00000195801803,149913.1217768957
mp-16035,Gd2TeO2,3,Gd-O-Te,1.0708000000000002,False,False,Tetragonal,3.9672438438776534,3.9672454165548525,6.897536973696858,106.7133741147737,106.71338204140247,90.00000217909349,139606.79047043156
mp-16036,Tb2TeO2,3,O-Tb-Te,1.1715,False,False,Tetragonal,3.930731939978125,3.930731649111011,6.838394041112652,106.70245309772714,106.70245110994935,89.99999694276916,142270.75780900219
mp-16037,Dy2TeO2,3,Dy-O-Te,1.0886000000000005,False,False,Tetragonal,3.91141897146597,3.911418615727281,6.805392143424459,106.70095372408827,106.70095078249773,89.99999802508411,139962.3558497399
mp-16763,KYTe2,3,K-Te-Y,1.2981000000000003,False,False,Trigonal,8.569501100785729,8.569501100785729,8.569501588874624,30.411767830650277,30.411767830650277,30.411773647915275,391357.8020735469
mp-19178,CoAgO2,3,Ag-Co-O,1.3319999999999999,False,False,Hexagonal,2.8615215,2.8615202220937044,12.28569151,90.0,90.0,119.99999122102358,429596.66008088423
mp-19378,CrAgO2,3,Ag-Cr-O,1.6634000000000007,False,False,Trigonal,6.423014979438439,6.423014384037174,6.423016127256923,26.944772419736196,26.944778285976454,26.944782291718845,153935.58306831704
mp-20015,As2PbO6,3,As-O-Pb,2.1358,False,False,Trigonal,4.89408167,4.894081447169482,5.51676445,90.0,90.0,120.00000143854919,11243.670882296748
mp-20072,LaCuO2,3,Cu-La-O,2.5215999999999994,False,False,Trigonal,6.054997502834269,6.054997502834269,6.0549974564179045,37.02923858055955,37.02923858055955,37.02923233309929,21095.35986439203
mp-20098,Ba2PbO4,3,Ba-O-Pb,1.2232000000000003,False,False,Tetragonal,4.339554789339323,4.339554907329229,7.353027620330051,107.16271173403709,107.16271119023227,89.99999862505899,114405.61820532594
mp-20194,CeO2,2,Ce-O,1.8647,False,False,Cubic,3.86607151081715,3.8660715767782934,3.866071,59.9999963787371,59.99999581434572,59.99999283390335,452125.09092935
mp-20289,NaInS2,3,In-Na-S,1.8377,False,False,Trigonal,6.985862846998567,6.985862736197737,6.985863299047232,31.70729690880517,31.70730159114806,31.707294103479143,43352.512730792936
mp-20790,InPS4,3,In-P-S,2.4754000000000005,False,False,Tetragonal,5.727184799285161,5.727184366280669,6.08352201327589,118.08059041527514,118.08058751053741,89.99999862138247,27061.905255413483
mp-2172,AlAs,2,Al-As,1.5036999999999998,False,False,Cubic,4.013398250535005,4.013397970922497,4.01339746,59.999995968863786,59.99999827352137,59.999996544356684,92207.77653150584
mp-2176,ZnTe,2,Te-Zn,1.0732999999999997,False,True,Cubic,4.322812724745816,4.32281327490844,10.57750131,90.0,90.0,119.99999490438097,227475.9718862572
mp-2251,Li3N,2,Li-N,0.9840000000000001,False,False,Hexagonal,3.60972717,3.6097276303886248,3.85463861,90.0,90.0,120.00000503666766,219852.35980756336
mp-2286,Li2Se,2,Li-Se,2.9746,False,False,Cubic,4.208762164126883,4.208762195466264,4.208762,60.00000153631201,60.00000128999295,60.00000110631436,4373.008537554134
mp-2352,Na2O,2,Na-O,1.8736000000000002,False,False,Cubic,3.878468227590648,3.8784677516620265,3.87846748,59.99999378795223,59.99999784718252,60.00000430484028,82536.5442219703
mp-2400,NaS,2,Na-S,1.2348,False,True,Hexagonal,4.4515464,4.451548038065359,10.17580278,90.0,90.0,119.99998782743393,56396.6597938009
mp-2437,IrF3,2,F-Ir,1.1410999999999998,False,False,Trigonal,5.394119479381798,5.394120008304303,5.394119789988916,54.73001630738653,54.7300140046085,54.73001047339662,417049.4665222003
mp-2490,GaP,2,Ga-P,1.6038999999999999,False,False,Cubic,3.854881055853415,3.854880368694961,3.8548812,60.00000144761544,60.00000734429977,60.00000390436404,132236.67002498536
mp-2507,GaS,2,Ga-S,2.0036,False,False,Hexagonal,3.5932455,3.593249215152555,16.01465599,90.0,90.0,120.00001235610424,22353.533292486987
mp-2530,Li2Te,2,Li-Te,2.4914,False,False,Cubic,4.6059164641890495,4.605916222488369,4.60591536,59.99999886874998,60.00000060464651,60.00000704320179,7401.304700239134
mp-2624,AlSb,2,Al-Sb,1.2255000000000003,False,False,Cubic,4.373485081071866,4.3734846273844985,4.37348589,60.00000565299335,60.00000908454812,59.999998301572866,348957.25522223295
mp-2667,CsAu,2,Au-Cs,1.0232999999999999,False,False,Cubic,4.28285436,4.28285436,4.28285436,90.0,90.0,90.0,142700.51855477766
mp-2697,SrO2,2,O-Sr,2.8495000000000004,False,False,Tetragonal,3.544240736997717,3.54423991249775,4.1774988312896175,115.10041547493206,115.10042383616062,89.99999560762716,2234.0352020164614
mp-2758,SrSe,2,Se-Sr,2.2313,False,False,Cubic,4.440220017995338,4.440221186960725,4.44022279,60.000011136568766,60.00000247814774,60.000019335807394,13824.998866014523
mp-2784,Na2Te,2,Na-Te,2.0282,False,True,Cubic,5.1378101610424265,5.137808210013997,5.13780802,59.9999883464201,60.0000009081001,59.99998808089255,62561.616050623
mp-2991,Cs2UO4,3,Cs-O-U,1.8211,False,False,Tetragonal,4.392605962582614,4.392604566869428,8.093786131822647,105.74501323828935,105.74500990272996,89.99998980910988,106853.02762454878
mp-22313,Na2PtO2,3,Na-O-Pt,1.4632999999999998,False,False,Orthorhombic,5.4670555694502765,5.4670555694502765,5.4670555694502765,146.62241929805657,130.77133306035267,60.783897306477385,51814.44917324935
mp-22859,HgI,2,Hg-I,1.6426000000000003,False,False,Tetragonal,5.070441172072168,5.07044047076725,6.888747225895806,111.55174888985859,111.55175722200553,90.02089924104857,642451.1826638625
mp-22877,VCl2,2,Cl-V,1.2559999999999998,False,False,Trigonal,3.63879131,3.638790074686877,6.09125368,90.0,90.0,120.00001113915155,20469.306069576218
mp-22885,XeF2,2,F-Xe,2.6861999999999995,False,False,Tetragonal,4.246657039160467,4.2466576374755,4.646511208216326,117.19192469607611,117.19193133239766,89.99999964303981,3712.433294379692
mp-22897,HgCl,2,Cl-Hg,2.7243000000000004,False,False,Tetragonal,4.529053928890892,4.5290553150911075,6.383391669146608,110.77830172903624,110.77830226901594,89.99999528035964,11323.398672808315
mp-22922,AgCl,2,Ag-Cl,0.9522000000000002,False,False,Cubic,3.921137907804589,3.9211372723398488,3.92113719,60.000000779002974,60.000006139947594,60.000009001124944,9240.430354182647
mp-22925,AgI,2,Ag-I,1.3674,False,True,Cubic,4.641584484463345,4.64158374875185,4.64158458,60.00000164526412,60.00000685445946,59.999999326356374,84443.93592516544
mp-22935,CsBrF,3,Br-Cs-F,2.5061999999999998,False,False,Tetragonal,4.309097960876789,4.309096846877345,10.427669433742597,101.9202120798776,101.92018500176124,90.00418050465215,12422.095680645332
mp-22936,Ca2NCl,3,Ca-Cl-N,2.371,False,True,Trigonal,6.906254583247127,6.906254438631563,6.906253992968177,30.712553295702396,30.71255707680391,30.712553177965663,34103.23371840593
mp-22939,BiClO,3,Bi-Cl-O,2.5681000000000003,False,False,Tetragonal,3.8933967,3.8933967,7.49318875,90.0,90.0,90.0,6690.116967263639
mp-22956,K2PdCl4,3,Cl-K-Pd,1.4279000000000002,False,False,Tetragonal,4.09634545,7.05764687,7.05764687,90.0,90.0,90.0,8985.79850533279
mp-22975,Rb2TeCl6,3,Cl-Rb-Te,2.6398,False,False,Cubic,7.27294328979413,7.272944261123459,7.27294397,60.0000012786416,59.99999686071706,60.000002298809186,13033.415709574487
mp-22981,TlIO3,3,I-O-Tl,2.7632999999999996,False,False,Trigonal,4.5042186482558,4.504218742373265,4.504218410273846,88.7770587720396,88.77706450994337,88.77707259576104,9251.419519823958
mp-22988,CsGeCl3,3,Cl-Cs-Ge,2.1534999999999997,False,False,Trigonal,5.461891123863339,5.461891123863339,5.461891073079682,89.54623144876582,89.54623144876582,89.54621700859916,55949.250895280165
mp-22990,CsICl2,3,Cl-Cs-I,2.2301,False,False,Trigonal,5.541027512876145,5.541027162511033,5.5410276929016975,70.13946878322189,70.13948230744148,70.13946548872079,17065.467111331178
mp-23009,Ca2BrN,3,Br-Ca-N,2.4254,False,True,Trigonal,7.189292581433737,7.18929266501056,7.1892928277891714,29.901495398702547,29.90149438493448,29.90149426690608,32204.52280927021
mp-23033,Sr2NCl,3,Cl-N-Sr,1.9398000000000004,False,True,Trigonal,7.388981160575238,7.3889806676529775,7.388980805449994,30.548449005156705,30.54845618233297,30.54845464709229,79794.45746886307
mp-23040,Ca2PI,3,Ca-I-P,1.6997000000000004,False,False,Trigonal,7.828366215892203,7.828366152745209,7.828366782299683,31.966664965959364,31.966668853799586,31.966668693170504,146024.17633880975
mp-23052,ZrIN,3,I-N-Zr,1.2172,False,True,Orthorhombic,3.75514487,4.11848974,9.70430948,90.0,90.0,90.0,44845.778132122905
mp-23056,Sr2BrN,3,Br-N-Sr,1.8455,False,False,Trigonal,7.671646721295647,7.671647299914642,7.67164717193967,29.750148717969367,29.750145024604485,29.750142612645693,89361.1133267938
mp-23072,BiBrO,3,Bi-Br-O,2.2251,False,False,Tetragonal,3.92782718,3.92782718,8.39431909,90.0,90.0,90.0,10758.881757173167
mp-23177,HgBr,2,Br-Hg,2.2557,False,False,Tetragonal,4.743076857179193,4.743077447967571,6.563668695520115,111.16652370579524,111.16652698364678,90.01247912854728,45959.2633679429
