Formule,Ele,BG,Structure,CA
ZnNiF6,F-Ni-Zn,1.6071,5,290447.426284124
MgMnF6,F-Mg-Mn,2.8029,5,30706.128535180364
CrCuO2,Cr-Cu-O,1.5391000000000004,5,249538.16191214835
K2PdO2,K-O-Pd,1.3697,3,41522.17485998279
CsYO2,Cs-O-Y,2.8461,4,3006.5957009188105
KNa2CuO2,Cu-K-Na-O,1.5144,2,25611.03921834629
NaNiIO6,I-Na-Ni-O,1.7121000000000002,5,292339.8499417109
UCdO4,Cd-O-U,1.9644,3,140815.96335880217
PrBi2IO4,Bi-I-O-Pr,1.2196999999999996,2,62928.23771130813
TmBi2ClO4,Bi-Cl-O-Tm,1.4201,2,26243.409153571
DyBi2IO4,Bi-Dy-I-O,1.3667999999999996,2,52281.20537232958
KCrO2,Cr-K-O,2.9299000000000004,5,118282.40717562764
ErBi2BrO4,Bi-Br-Er-O,1.3570000000000002,2,34261.854645562744
HoBi2ClO4,Bi-Cl-Ho-O,1.3709999999999996,2,28899.182788971528
NdBi2IO4,Bi-I-Nd-O,1.2653999999999996,2,56258.80471956186
